Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_25_134.jpg;0;0;1;0;99.67;85.58898;0.0002348689;46.89417;4.70135E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_25_188.jpg;0;0;0;0;99.67;85.58898;0.0002348885;46.89417;4.651722E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_25_255.jpg;0;0;0;0;99.67;85.58898;0.0002349473;46.89417;4.50283E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_25_322.jpg;0;0;0;0;99.67;85.58898;0.0002350062;46.89417;4.353945E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_25_390.jpg;0;0;0;0;99.67;85.58898;0.0002350846;46.89417;4.155424E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_25_454.jpg;-0.03694206;0;0;0;99.67;85.58898;0.0002346619;46.76805;4.018928E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_25_524.jpg;-2.192592;0;0;0;99.67;85.58898;0.0002352613;46.63651;4.41365E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_25_591.jpg;-2.233674;0;0;0;99.67;85.58898;0.0002354847;45.86562;6.216142E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_25_658.jpg;-6.249756;0;0;0;99.67;85.58898;0.0002363427;44.86072;9.530774E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_25_725.jpg;-2.253186;0;0;0;99.67;85.58898;0.0002377172;44.21277;1.060294E-05
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_25_790.jpg;0;0;0;0;99.67;85.58898;0.0002379337;44.18425;7.336811E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_25_857.jpg;0;0;0;0;99.67;85.58898;0.0002374505;44.18425;4.641684E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_25_924.jpg;0;0;0;0;99.67;85.58898;0.0002374326;44.18425;2.490705E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_25_991.jpg;0;0;0;0;99.67;85.58898;0.0002369966;44.18425;-5.900373E-07
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_26_056.jpg;0;0;0;0;99.67;85.58898;0.0002366214;44.18425;-2.718166E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_26_125.jpg;0;0;0;0;99.67;85.58898;0.0002363653;44.18425;-4.853916E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_26_188.jpg;4.14588;0;0;0;99.67;85.58898;0.0002353043;44.93607;-9.833489E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_26_256.jpg;3.843708;0;0;0;99.67;85.58898;0.000235789;45.75014;-1.237143E-05
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_26_322.jpg;0;0;0;0;99.67;85.58898;0.0002346228;45.97181;-1.213801E-05
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_26_389.jpg;0;0;0;0;99.67;85.58898;0.000235348;45.97181;-9.945447E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_26_455.jpg;0;0;0;0;99.67;85.58898;0.0002355805;45.97181;-8.527607E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_26_523.jpg;0.04534207;0;0;0;99.67;85.58898;0.0002350997;46.21748;-8.413173E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_26_590.jpg;0;0;0;0;99.67;85.58898;0.0002354542;46.21748;-7.005553E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_26_655.jpg;0;0;0;0;99.67;85.58898;0.0002356504;46.21748;-5.776553E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_26_723.jpg;0;0;0;0;99.67;85.58898;0.0002358661;46.21748;-4.309703E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_26_788.jpg;0;0;0;0;99.67;85.58898;0.0002363581;46.21748;-2.09926E-06
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_26_854.jpg;0;0;0;0;99.67;85.58898;0.0002368709;46.21748;-5.13025E-07
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_26_922.jpg;0;0;0;0;99.67;85.58898;0.0002376613;46.21748;9.547176E-07
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_26_990.jpg;0;0.1987101;0;0;99.67009;85.58907;0.002762505;46.23295;-4.267638E-05
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_27_056.jpg;2.010858;0.4022619;0;0;99.67107;85.59018;0.03417359;46.20226;0.0009763438
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_27_124.jpg;0;0.6027921;0;0.0391956;99.67388;85.59311;0.1188123;46.17902;0.0009526868
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_27_187.jpg;0;0.8096454;0;0.07047233;99.68063;85.60009;0.309745;45.9171;0.001692364
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_27_254.jpg;0;1;0;0.1245054;99.68904;85.60871;0.5263902;45.87336;-0.0009875242
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_27_321.jpg;0;1;0;0.1741196;99.69939;85.61936;0.7557371;45.89551;-0.0008360771
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_27_387.jpg;0;1;0;0.2416633;99.71745;85.63803;1.113867;45.99289;-0.0004183748
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_27_454.jpg;4.026336;1;0;0.2887745;99.7324;85.65404;1.324029;46.01538;-0.002105167
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_27_521.jpg;0.03138006;1;0;0.3313102;99.74554;85.66815;1.245839;46.1723;-0.001535635
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_27_590.jpg;0.05040005;1;0;0.4123714;99.76747;85.69111;1.126883;46.23037;-0.001088932
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_27_657.jpg;0;1;0;0.4586271;99.78703;85.71138;1.102838;46.17787;0.0005204448
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_27_723.jpg;0;1;0;0.5192066;99.80957;85.73476;1.143693;46.27794;-0.0007794906
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_27_790.jpg;0;1;0;0.5720759;99.84247;85.76903;1.210743;46.41513;-0.001491902
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_27_858.jpg;0;1;0;0.6146843;99.86905;85.79676;1.232745;46.40584;-0.00147745
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_27_923.jpg;4.038186;1;0;0.691812;99.89719;85.82704;1.235902;46.49143;-0.001449218
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_27_991.jpg;8.071541;1;0;0.7346329;99.93629;85.87206;1.213102;46.912;-0.00310531
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_28_060.jpg;12.04592;1;0;0.7962708;99.96646;85.9096;1.188744;47.501;-0.002000529
D:\Documents\Estudos\Robotics Software Engineer\Record_data\IMG\robocam_2019_02_21_18_53_28_123.jpg;15;1;0;0.857379;99.99722;85.95078;1.18762;48.31017;0.01548702
